2.799999999999999711e-02 3.000715190917532457e-02 8.402002534569090377e-04
5.599999999999999423e-02 1.209316412650686401e-01 4.226286208878831004e-03
8.399999999999999134e-02 2.751245705723656121e-01 1.192977418490506758e-02
1.119999999999999885e-01 4.943937773140816838e-01 2.577279994969935289e-02
1.399999999999999856e-01 7.794094136648302973e-01 4.759626353231460189e-02
1.679999999999999827e-01 1.128267439095751001e+00 7.918775182699562543e-02
1.959999999999999798e-01 1.533806275426694343e+00 1.221343275389430577e-01
2.239999999999999769e-01 1.985178751804790309e+00 1.777193325894771692e-01
2.520000000000000018e-01 2.464260677171211444e+00 2.467186315502710725e-01
2.800000000000000266e-01 2.951705213220196189e+00 3.293663775204365707e-01
3.079999999999999405e-01 3.421716749013745673e+00 4.251744464928214340e-01
3.359999999999999654e-01 3.853372411251941188e+00 5.330688740078757260e-01
3.639999999999999902e-01 4.222783367803947918e+00 6.513068083063863201e-01
3.920000000000000151e-01 4.515724889623845328e+00 7.777471052158538845e-01
4.199999999999999289e-01 4.721426987543614118e+00 9.099470608670751082e-01
4.479999999999999538e-01 4.837396233222298392e+00 1.045394155397299629e+00
4.759999999999999787e-01 4.867321422813354559e+00 1.181679155236073475e+00
5.040000000000000036e-01 4.823638426986784467e+00 1.316741031191703382e+00
5.320000000000000284e-01 4.719075316914748797e+00 1.448875140065316147e+00
5.599999999999999423e-01 4.575425740224518201e+00 1.576987060791602779e+00
5.879999999999999671e-01 4.408862238127114530e+00 1.700435203459161881e+00
6.159999999999999920e-01 4.238158011171657691e+00 1.819103627771968323e+00
6.439999999999999059e-01 4.066646008246806332e+00 1.932969716002878702e+00
6.719999999999999307e-01 3.898540790777335285e+00 2.042128858144644177e+00
6.999999999999999556e-01 3.727003411793569310e+00 2.146484953674864027e+00
7.279999999999999805e-01 3.559573583271555819e+00 2.246153014006467608e+00
7.560000000000000053e-01 3.397817233732265851e+00 2.341291896550971252e+00
7.839999999999999192e-01 3.242551107781353803e+00 2.432083327568849374e+00
8.119999999999999440e-01 3.094914723426525960e+00 2.518740939824791969e+00
8.399999999999999689e-01 2.956228779593121470e+00 2.601515345653399258e+00
8.679999999999998828e-01 2.824164769901444494e+00 2.680591959210639530e+00
8.959999999999999076e-01 2.703217384659859945e+00 2.756282045981115481e+00
9.239999999999999325e-01 2.589168859042630721e+00 2.828778774034308885e+00
9.519999999999999574e-01 2.486277828827208936e+00 2.898394553241470994e+00
9.799999999999999822e-01 2.393147246458257715e+00 2.965402676142302241e+00
1.007999999999999785e+00 2.311239868111140350e+00 3.030117392449414027e+00
1.036000000000000032e+00 2.241821118531580836e+00 3.092888383768298333e+00
1.063999999999999835e+00 2.183518440329874188e+00 3.154026900097534725e+00
1.091999999999999860e+00 2.139311952132744832e+00 3.213927634757251628e+00
1.119999999999999885e+00 2.108635726650951447e+00 3.272969435103478375e+00
1.147999999999999909e+00 2.092890118134573374e+00 3.331570358411246602e+00
1.175999999999999934e+00 2.092245602111530101e+00 3.390153235270369603e+00
1.203999999999999959e+00 2.110548959843575823e+00 3.449248606145989715e+00
1.231999999999999984e+00 2.148067787780127080e+00 3.509394504203832810e+00
1.259999999999999787e+00 2.207555722796838538e+00 3.571206064442144612e+00
1.287999999999999812e+00 2.294532690349833093e+00 3.635452979771939486e+00
1.315999999999999837e+00 2.409888577003342913e+00 3.702929859928032919e+00
1.343999999999999861e+00 2.563818944579361769e+00 3.774716790376255737e+00
1.371999999999999886e+00 2.757974901434863568e+00 3.851940087616431807e+00
1.399999999999999911e+00 3.005099776841658965e+00 3.936082881367998443e+00
