2.799999999999999711e-02 5.960225588040797551e-02 1.668863164651423169e-03
5.599999999999999423e-02 2.402098392080397882e-01 8.394738662476535981e-03
8.399999999999999134e-02 5.465136179251018911e-01 2.369711996437938797e-02
1.119999999999999885e-01 9.821323694327974696e-01 5.119682630849770738e-02
1.399999999999999856e-01 1.548441448969184231e+00 9.455318687963486235e-02
1.679999999999999827e-01 2.241693894957413224e+00 1.573206159384424319e-01
1.959999999999999798e-01 3.047714349563074521e+00 2.426566177262085011e-01
2.239999999999999769e-01 3.944979038951794692e+00 3.531160308168587725e-01
2.520000000000000018e-01 4.897541599653874478e+00 4.902471956071672299e-01
2.800000000000000266e-01 5.866977990076671645e+00 6.545225793293140137e-01
3.079999999999999405e-01 6.802058701642165417e+00 8.449802229752946259e-01
3.359999999999999654e-01 7.661181364198927035e+00 1.059493301172864443e+00
3.639999999999999902e-01 8.396868947888268764e+00 1.294605631713735994e+00
3.920000000000000151e-01 8.980821479489774717e+00 1.546068633139449533e+00
4.199999999999999289e-01 9.391615585673344313e+00 1.809033869538303474e+00
4.479999999999999538e-01 9.624249082136934419e+00 2.078512843838137947e+00
4.759999999999999787e-01 9.685997037090436024e+00 2.349720760876669701e+00
5.040000000000000036e-01 9.601572095397928663e+00 2.618564779547811749e+00
5.320000000000000284e-01 9.396207408845292264e+00 2.881658586995479610e+00
5.599999999999999423e-01 9.113244389350834140e+00 3.136829429897303179e+00
5.879999999999999671e-01 8.784814514203503677e+00 3.382804236295001044e+00
6.159999999999999920e-01 8.448184238057546480e+00 3.619353394960612480e+00
6.439999999999999059e-01 8.109921008071198756e+00 3.846431183186606262e+00
6.719999999999999307e-01 7.778450567998906884e+00 4.064227799090575743e+00
6.999999999999999556e-01 7.440090538831318767e+00 4.272550334177853237e+00
7.279999999999999805e-01 7.109929211370825897e+00 4.471628352096235659e+00
7.560000000000000053e-01 6.791053256902856106e+00 4.661777843289516277e+00
7.839999999999999192e-01 6.485019726877506052e+00 4.843358395642086478e+00
8.119999999999999440e-01 6.194255061067490686e+00 5.016797537351975755e+00
8.399999999999999689e-01 5.921453777810461006e+00 5.182598243130668969e+00
8.679999999999998828e-01 5.661842835431996512e+00 5.341129842522764903e+00
8.959999999999999076e-01 5.424771400937357768e+00 5.493023441749010694e+00
9.239999999999999325e-01 5.201439950703401038e+00 5.638663760368705091e+00
9.519999999999999574e-01 5.000882129481401428e+00 5.778688459994183901e+00
9.799999999999999822e-01 4.820125354494410708e+00 5.913651969920028506e+00
1.007999999999999785e+00 4.662451790427668996e+00 6.044200620052002648e+00
1.036000000000000032e+00 4.530360111480609575e+00 6.171050703173460050e+00
1.063999999999999835e+00 4.421047627778458278e+00 6.294840036751256029e+00
1.091999999999999860e+00 4.341446770679863398e+00 6.416400546330292443e+00
1.119999999999999885e+00 4.289545040515011287e+00 6.536507807464713160e+00
1.147999999999999909e+00 4.269282171209480836e+00 6.656047708258578943e+00
1.175999999999999934e+00 4.281061271273897795e+00 6.775917423854247446e+00
1.203999999999999959e+00 4.332544412561766478e+00 6.897228667405976843e+00
1.231999999999999984e+00 4.425447532975207210e+00 7.021141198329282851e+00
1.259999999999999787e+00 4.564910147883499469e+00 7.148958682470020420e+00
1.287999999999999812e+00 4.763737081267485074e+00 7.282343320745510162e+00
1.315999999999999837e+00 5.022488828068063071e+00 7.422973007931415346e+00
1.343999999999999861e+00 5.365295673290336964e+00 7.573201286783545427e+00
1.371999999999999886e+00 5.791987637076741358e+00 7.735376940621693009e+00
1.399999999999999911e+00 6.334107360891504612e+00 7.912731946726655252e+00
