2.799999999999999711e-02 3.000715190913555083e-02 8.402002534557953452e-04
5.599999999999999423e-02 1.209316412663793555e-01 4.226286208914416254e-03
8.399999999999999134e-02 2.751245705711465872e-01 1.192977418490651954e-02
1.119999999999999885e-01 4.943937773128580515e-01 2.577279994966654234e-02
1.399999999999999856e-01 7.794094136671319006e-01 4.759626353234623630e-02
1.679999999999999827e-01 1.128267439095101299e+00 7.918775182700907300e-02
1.959999999999999798e-01 1.533806275444014044e+00 1.221343275394414507e-01
2.239999999999999769e-01 1.985178751801602637e+00 1.777193325898863141e-01
2.520000000000000018e-01 2.464260677200551530e+00 2.467186315515017547e-01
2.800000000000000266e-01 2.951705213138876349e+00 3.293663775193902410e-01
3.079999999999999405e-01 3.421716748997890800e+00 4.251744464913311816e-01
3.359999999999999654e-01 3.853372411132389708e+00 5.330688740030381512e-01
3.639999999999999902e-01 4.222783368013670824e+00 6.513068083074209369e-01
3.920000000000000151e-01 4.515724889569708189e+00 7.777471052153727138e-01
4.199999999999999289e-01 4.721426987548872134e+00 9.099470608667411531e-01
4.479999999999999538e-01 4.837396233291260117e+00 1.045394155398896352e+00
4.759999999999999787e-01 4.867321422945281029e+00 1.181679155241364132e+00
5.040000000000000036e-01 4.823638427094556924e+00 1.316741031200011847e+00
5.320000000000000284e-01 4.719075317065170694e+00 1.448875140077836576e+00
5.599999999999999423e-01 4.575425740370933525e+00 1.576987060808222596e+00
5.879999999999999671e-01 4.408862238259234623e+00 1.700435203479480961e+00
6.159999999999999920e-01 4.238158011204853359e+00 1.819103627793217104e+00
6.439999999999999059e-01 4.066646008290925707e+00 1.932969716025363160e+00
6.719999999999999307e-01 3.898540790893135544e+00 2.042128858170371153e+00
6.999999999999999556e-01 3.727003411905841279e+00 2.146484953703734710e+00
7.279999999999999805e-01 3.559573583347808601e+00 2.246153014037473472e+00
7.560000000000000053e-01 3.397817233696040162e+00 2.341291896580962373e+00
7.839999999999999192e-01 3.242551107930955023e+00 2.432083327603029144e+00
8.119999999999999440e-01 3.094914723346928298e+00 2.518740939856743299e+00
8.399999999999999689e-01 2.956228779540359231e+00 2.601515345683873104e+00
8.679999999999998828e-01 2.824164769977680844e+00 2.680591959243248112e+00
8.959999999999999076e-01 2.703217384566613646e+00 2.756282046011112818e+00
9.239999999999999325e-01 2.589168859105898779e+00 2.828778774066078139e+00
9.519999999999999574e-01 2.486277828789534183e+00 2.898394553272185092e+00
9.799999999999999822e-01 2.393147246388924732e+00 2.965402676171075225e+00
1.007999999999999785e+00 2.311239868091906846e+00 3.030117392477648330e+00
1.036000000000000032e+00 2.241821118507810517e+00 3.092888383795866947e+00
1.063999999999999835e+00 2.183518440439891073e+00 3.154026900128184430e+00
1.091999999999999860e+00 2.139311952129871575e+00 3.213927634787820509e+00
1.119999999999999885e+00 2.108635726720443859e+00 3.272969435135992811e+00
1.147999999999999909e+00 2.092890118099043129e+00 3.331570358442766278e+00
1.175999999999999934e+00 2.092245602109321201e+00 3.390153235301827106e+00
1.203999999999999959e+00 2.110548959778576705e+00 3.449248606175627341e+00
1.231999999999999984e+00 2.148067787682689023e+00 3.509394504230742839e+00
1.259999999999999787e+00 2.207555722698340883e+00 3.571206064466296404e+00
1.287999999999999812e+00 2.294532690241118278e+00 3.635452979793047490e+00
1.315999999999999837e+00 2.409888576870954591e+00 3.702929859945433666e+00
1.343999999999999861e+00 2.563818944442936232e+00 3.774716790389836429e+00
1.371999999999999886e+00 2.757974901458940309e+00 3.851940087630686627e+00
1.399999999999999911e+00 3.005099776645504761e+00 3.936082881376760323e+00
